site_id,lat,lon,ix,iy,std_elev,mean_slope,TRI,max_relief,elongation,cluster_id
site_00089,43.38597,-2.83472,25460,41584,126.41,13.204,1.34,685.2,1.7646,17
site_00090,51.92375,-5.25417,16750,10848,33.36,1.743,0.26,174.0,1.9519,18
site_00091,49.34986,-0.04306,35510,20114,35.85,1.382,0.22,153.5,2.0276,18
site_00092,54.37208,-9.53472,1340,2034,31.07,0.721,0.1,302.1,2.0947,18
site_00093,45.14375,-0.69444,33165,35256,13.75,1.63,0.3,83.2,1.9027,18
site_00094,49.97764,1.25972,40200,17854,53.22,2.84,0.44,175.2,1.8173,18
site_00095,41.87931,-2.92778,25125,47008,88.49,9.429,1.06,496.8,1.5314,19
site_00096,47.78042,8.425,65995,25764,102.64,10.072,1.2,473.3,1.4938,19
site_00097,43.32319,-7.95278,7035,41810,86.37,10.638,1.09,439.1,1.4457,19
site_00098,41.56542,-6.65,11725,48138,86.43,13.275,1.07,531.4,1.5303,19
site_00099,43.95097,3.30694,47570,39550,69.96,9.696,0.81,476.8,1.5287,19
