date,rain_imerg,site_id
2020-06-01,0.0605000015348196,OPE
2020-06-02,0.0,OPE
2020-06-03,3.3700000047683716,OPE
2020-06-04,5.575000047683716,OPE
2020-06-05,1.314999908208847,OPE
2020-06-06,0.9150000214576721,OPE
2020-06-07,0.0,OPE
2020-06-08,0.26999998837709427,OPE
2020-06-09,2.5149999260902405,OPE
2020-06-10,2.0450000166893005,OPE
2020-06-11,0.4150000065565109,OPE
2020-06-12,16.699999809265137,OPE
2020-06-13,1.6650000214576721,OPE
2020-06-14,0.0,OPE
2020-06-15,0.0,OPE
2020-06-16,0.14000000059604645,OPE
2020-06-17,24.175000190734863,OPE
2020-06-18,2.6050000190734863,OPE
2020-06-19,0.38499999046325684,OPE
2020-06-20,0.0,OPE
2020-06-21,0.14999999105930328,OPE
2020-06-22,0.0,OPE
2020-06-23,0.0,OPE
2020-06-24,0.0,OPE
2020-06-25,0.0,OPE
2020-06-26,1.1299999952316284,OPE
2020-06-27,15.375,OPE
2020-06-28,8.46999979019165,OPE
2020-06-29,0.004999999771825969,OPE
2020-06-30,0.0,OPE
2020-07-01,0.014500000979751348,OPE
2020-07-02,0.4349999874830246,OPE
2020-07-03,0.0,OPE
2020-07-04,0.0,OPE
2020-07-05,0.0,OPE
2020-07-06,0.0,OPE
2020-07-07,0.0,OPE
2020-07-08,0.0,OPE
2020-07-09,0.0,OPE
2020-07-10,0.809999942779541,OPE
2020-07-11,0.0,OPE
2020-07-12,0.0,OPE
2020-07-13,0.0,OPE
2020-07-14,2.709999918937683,OPE
2020-07-15,8.399999856948853,OPE
2020-07-16,0.0,OPE
2020-07-17,0.0,OPE
2020-07-18,0.0,OPE
2020-07-19,0.0,OPE
2020-07-20,0.0,OPE
2020-07-21,0.0,OPE
2020-07-22,0.0,OPE
2020-07-23,1.3349999785423279,OPE
2020-07-24,1.3799999356269836,OPE
2020-07-25,4.519999980926514,OPE
2020-07-26,1.7199999690055847,OPE
2020-07-27,0.0,OPE
2020-07-28,0.0,OPE
2020-07-29,0.0,OPE
2020-07-30,0.0,OPE
2020-07-31,0.0,OPE
2020-08-01,1.3059999346733093,OPE
2020-08-02,0.07000000029802322,OPE
