site_id,case_id,z_agl_m,u,v,w,ws,wd,T,q,wind_dir_inflow,u_hub_inflow
ES-LJu,case_ts000,0.0,0.2778644859790802,0.6594335436820984,0.021597683429718018,0.7155845761299133,202.84902954101562,299.5753173828125,0.007195905316621065,178.39999389648438,2.0897583961486816
ES-LJu,case_ts000,5.0,0.42013347148895264,1.0143108367919922,0.03371062129735947,1.09787917137146,202.49961853027344,299.58154296875,0.007194016128778458,178.39999389648438,2.0897583961486816
ES-LJu,case_ts000,10.0,0.5117096304893494,1.292967677116394,0.0470682717859745,1.390543818473816,201.59185791015625,299.5976257324219,0.007187443785369396,178.39999389648438,2.0897583961486816
ES-LJu,case_ts000,15.0,0.5581656694412231,1.4698723554611206,0.058453600853681564,1.5722830295562744,200.7936553955078,299.61566162109375,0.007179069798439741,178.39999389648438,2.0897583961486816
ES-LJu,case_ts000,20.0,0.6008362770080566,1.6611721515655518,0.07300495356321335,1.7664929628372192,199.884765625,299.6429443359375,0.007166675291955471,178.39999389648438,2.0897583961486816
ES-LJu,case_ts000,25.0,0.6285480260848999,1.80275559425354,0.08505882322788239,1.9091883897781372,199.2216033935547,299.66912841796875,0.007155426312237978,178.39999389648438,2.0897583961486816
ES-LJu,case_ts000,30.0,0.6556800007820129,1.9572713375091553,0.09931937605142593,2.0641772747039795,198.52069091796875,299.7046203613281,0.007140831556171179,178.39999389648438,2.0897583961486816
ES-LJu,case_ts000,35.0,0.6816746592521667,2.124099016189575,0.11593650281429291,2.230801820755005,197.79269409179688,299.7532958984375,0.007121421862393618,178.39999389648438,2.0897583961486816
ES-LJu,case_ts000,40.0,0.7054012417793274,2.299513578414917,0.13475070893764496,2.405276298522949,197.05397033691406,299.8211975097656,0.007094743195921183,178.39999389648438,2.0897583961486816
ES-LJu,case_ts000,45.0,0.7251136302947998,2.4743669033050537,0.1550004929304123,2.5784261226654053,196.33322143554688,299.9175109863281,0.007056861650198698,178.39999389648438,2.0897583961486816
ES-LJu,case_ts000,50.0,0.7328553795814514,2.5565474033355713,0.16514375805854797,2.659513473510742,195.99539184570312,299.98004150390625,0.007032032590359449,178.39999389648438,2.0897583961486816
ES-LJu,case_ts000,55.0,0.7436306476593018,2.6965725421905518,0.1839819848537445,2.797229051589966,195.41720581054688,300.140625,0.0069670542143285275,178.39999389648438,2.0897583961486816
ES-LJu,case_ts000,60.0,0.7471742033958435,2.7495880126953125,0.19211992621421814,2.8492987155914307,195.20248413085938,300.2390441894531,0.006926169618964195,178.39999389648438,2.0897583961486816
ES-LJu,case_ts000,65.0,0.7540603876113892,2.819110631942749,0.20544688403606415,2.918217182159424,194.97500610351562,300.4618835449219,0.006829723250120878,178.39999389648438,2.0897583961486816
ES-LJu,case_ts000,70.0,0.7589642405509949,2.8387818336486816,0.2109924554824829,2.9384875297546387,194.96826171875,300.5782165527344,0.006776515394449234,178.39999389648438,2.0897583961486816
ES-LJu,case_ts000,75.0,0.765306293964386,2.8515446186065674,0.21615631878376007,2.9524567127227783,195.023193359375,300.6920471191406,0.0067218029871582985,178.39999389648438,2.0897583961486816
ES-LJu,case_ts000,80.0,0.7729738354682922,2.8591718673706055,0.22113044559955597,2.961815595626831,195.12820434570312,300.7998046875,0.006666730623692274,178.39999389648438,2.0897583961486816
ES-LJu,case_ts000,85.0,0.7816532850265503,2.8626132011413574,0.22599464654922485,2.9674124717712402,195.27264404296875,300.8987121582031,0.006612109020352364,178.39999389648438,2.0897583961486816
ES-LJu,case_ts000,90.0,0.7910363674163818,2.862370252609253,0.23060519993305206,2.969663619995117,195.44851684570312,300.9870300292969,0.006558369845151901,178.39999389648438,2.0897583961486816
ES-LJu,case_ts000,95.0,0.8009834885597229,2.8588085174560547,0.23500031232833862,2.9688987731933594,195.65185546875,301.0636901855469,0.006505604833364487,178.39999389648438,2.0897583961486816
ES-LJu,case_ts000,100.0,0.8114079236984253,2.852200746536255,0.23943427205085754,2.965372085571289,195.8802490234375,301.1280212402344,0.00645367382094264,178.39999389648438,2.0897583961486816
ES-LJu,case_ts000,105.0,0.8222349286079407,2.8429338932037354,0.24371105432510376,2.9594500064849854,196.13095092773438,301.1797790527344,0.006402217783033848,178.39999389648438,2.0897583961486816
ES-LJu,case_ts000,110.0,0.833408772945404,2.8315484523773193,0.24773384630680084,2.9516499042510986,196.40072631835938,301.2187805175781,0.0063508073799312115,178.39999389648438,2.0897583961486816
ES-LJu,case_ts000,115.0,0.8447623252868652,2.818363666534424,0.25185298919677734,2.9422435760498047,196.685302734375,301.2443542480469,0.006299074273556471,178.39999389648438,2.0897583961486816
ES-LJu,case_ts000,125.0,0.8560492992401123,2.8036229610443115,0.2559193968772888,2.9314026832580566,196.9793701171875,301.2550048828125,0.006246799137443304,178.39999389648438,2.0897583961486816
