site_id,case_id,z_agl_m,u,v,w,ws,wd,T,q,wind_dir_inflow,u_hub_inflow
FR-Pue,case_ts000,0.0,-0.8973447680473328,1.026777744293213,-0.0017951932968571782,1.3636349439620972,138.84840393066406,297.6247863769531,0.008043942041695118,146.60000610351562,2.5264222621917725
FR-Pue,case_ts000,20.0,-0.9976556897163391,1.2567689418792725,-0.0027347926516085863,1.6046136617660522,141.55654907226562,297.60369873046875,0.008042573928833008,146.60000610351562,2.5264222621917725
FR-Pue,case_ts000,40.0,-1.0160752534866333,1.407360553741455,-0.01346949115395546,1.7358205318450928,144.1717529296875,297.5710754394531,0.008040444925427437,146.60000610351562,2.5264222621917725
FR-Pue,case_ts000,60.0,-1.027808427810669,1.5489262342453003,-0.02357160486280918,1.8589143753051758,146.43325805664062,297.52044677734375,0.00803713221102953,146.60000610351562,2.5264222621917725
FR-Pue,case_ts000,80.0,-1.0563708543777466,1.6964937448501587,-0.028395168483257294,1.9985020160675049,148.09036254882812,297.4415283203125,0.008031956851482391,146.60000610351562,2.5264222621917725
FR-Pue,case_ts000,105.0,-1.1147246360778809,1.8510626554489136,-0.030199794098734856,2.160797119140625,148.94332885742188,297.32080078125,0.00802401453256607,146.60000610351562,2.5264222621917725
FR-Pue,case_ts000,125.0,-1.2107902765274048,2.0065999031066895,-0.028231950476765633,2.3435988426208496,148.89306640625,297.1427917480469,0.008012249134480953,146.60000610351562,2.5264222621917725
FR-Pue,case_ts000,155.0,-1.3465235233306885,2.1531412601470947,-0.022365976125001907,2.5395162105560303,147.97911071777344,296.89398193359375,0.007995682768523693,146.60000610351562,2.5264222621917725
FR-Pue,case_ts000,180.0,-1.5180548429489136,2.281327247619629,-0.013407161459326744,2.7402453422546387,146.35916137695312,296.569091796875,0.007973793894052505,146.60000610351562,2.5264222621917725
FR-Pue,case_ts000,210.0,-1.71749746799469,2.387157440185547,-0.00281586148776114,2.9408023357391357,144.26597595214844,296.1752014160156,0.007946781814098358,146.60000610351562,2.5264222621917725
FR-Pue,case_ts000,240.0,-1.9345752000808716,2.4724340438842773,0.007702459115535021,3.1393489837646484,141.9583282470703,295.729248046875,0.007915441878139973,146.60000610351562,2.5264222621917725
FR-Pue,case_ts000,270.0,-2.154817581176758,2.540842294692993,0.016381260007619858,3.3315341472625732,139.6996612548828,295.25408935546875,0.007880957797169685,146.60000610351562,2.5264222621917725
