epoch,train_loss,train_occurrence_loss,train_amount_loss,train_dry_amount_loss,train_dry_rain_loss,val_rmse,val_mae,val_bias,val_correlation,val_wet_precision,val_wet_recall,val_dry_false_alarm,val_heavy_recall,lr
1,1.010167408489816,0.36013909374397074,0.4203214770767319,0.9683066690480655,0.46176359486996443,4.052234081320781,1.4996464492730024,-1.2908104315397948,0.6578181362103237,0.8491591203104787,0.4924231057764441,0.034468487643372354,0.06220472440944882,0.00029917828430524096
2,0.8429751500353949,0.29855085134281245,0.33680079160257065,0.8982593149361506,0.38280690341294776,3.859865465384507,1.4280032119878634,-1.1724381015152665,0.6391878965417466,0.8626573426573426,0.4627156789197299,0.02902920657443538,0.16377952755905512,0.0002967221401100708
3,0.802462676638123,0.28606810126246435,0.31826509707694917,0.8625458909764495,0.3572601262815891,3.5265238474459433,1.3586424213058905,-0.6580858507290414,0.6670101867529666,0.8025602082881319,0.5549887471867967,0.05380158448622443,0.4086614173228346,0.00029265847744427303
4,0.7623482123288301,0.27655665813577446,0.30132944592619104,0.7948310702159715,0.3449376105048282,3.6895771824615533,1.36986388092027,-0.9682537783864349,0.6573413825305968,0.8301435406698564,0.5206301575393848,0.04197706042331796,0.2346456692913386,0.0002870318186463901
5,0.7206046883384367,0.2649303681600265,0.28563889862649533,0.7335645194882635,0.31661500446245494,3.7578634404214233,1.4027725504553488,-1.0298259492514386,0.6310815420440522,0.8609701071630006,0.45806451612903226,0.029147451815064444,0.2614173228346457,0.0002799038105676658
6,0.6810290267725879,0.25552970718196605,0.26830648179601474,0.6742328101221872,0.29859109730015254,3.6193342380175895,1.368450724112174,-0.7831086870716931,0.6483111937940943,0.8274182324286709,0.5351837959489872,0.04398722951401206,0.34566929133858265,0.0002713525491562421
7,0.6380209223241002,0.24681148685129192,0.24739195712443762,0.6132815194498435,0.2785566400339403,3.7924921157528706,1.4407843901962454,-1.0294743690842154,0.6190857495677597,0.8296703296703297,0.4304576144036009,0.034823223365259545,0.268503937007874,0.00026147172382160914
8,0.5930540663999581,0.23368515562403278,0.22890091995379455,0.559834856000067,0.24748096156215973,3.6601363991250704,1.3861104694456963,-0.7542804549373004,0.6358067648502191,0.8138084632516703,0.5482370592648163,0.049426510582949036,0.33385826771653543,0.00025036959095382875
9,0.553549050666633,0.224743168189431,0.20939707418117548,0.5140932425249765,0.2239334920051089,3.673283345512386,1.4059706866994732,-0.7428287824320726,0.6316972064437673,0.7970496200268217,0.5350337584396099,0.05368333924559537,0.35826771653543305,0.000238167787843871
10,0.5132375127322236,0.21449232053945547,0.18961164275551048,0.4732639951208611,0.1995502524403831,3.850775487957966,1.4683237897538965,-0.6344210472499063,0.6042152109540505,0.8133744368034147,0.5146286571642911,0.04652950218753695,0.41181102362204725,0.00022500000000000002
11,0.47278223039161366,0.20022242724695613,0.17532987383371718,0.4234539107211914,0.17506852062760644,3.7907742021536186,1.4445662166326836,-0.5215019482964885,0.6192879153516785,0.8137992038920832,0.5521380345086272,0.04978124630483623,0.4456692913385827,0.0002110104964613701
12,0.43036360022916875,0.1881243182170235,0.15568004462802207,0.37888961250970454,0.15299253183769676,3.6854672481656547,1.4132387052840998,-0.593060703939082,0.6304020330882653,0.7949925101647763,0.5573893473368342,0.05663947026132198,0.4330708661417323,0.00019635254915624216
13,0.3919332425169112,0.1728017417680945,0.14478401407828664,0.3255645524438028,0.13121554227703963,3.6940560916327114,1.4166994804366897,-0.5120825135119246,0.6396890372761889,0.8091106290672451,0.5596399099774944,0.05202790587678846,0.462992125984252,0.00018118675362266393
14,0.3595665655743147,0.15896281598605982,0.1346749011114024,0.29020084026278103,0.1141057936799169,3.708872846571606,1.4096142183287574,-0.7159571841736613,0.62357310049632,0.8094289508632138,0.5486871717929482,0.050904576090812344,0.3669291338582677,0.0001656792694901481
15,0.3262284878395667,0.1440971209486181,0.12452173129305259,0.25249490739493197,0.10133791501452756,3.7676095929809867,1.425004761027698,-0.5295803816503397,0.6190316971923651,0.7885725661955006,0.5942985746436609,0.06278822277403334,0.42913385826771655,0.0001500000000000001
16,0.2917885636937878,0.12955442960039543,0.1131204660375443,0.21510322835386186,0.08662571249315094,3.6618457280031724,1.4029124324387259,-0.44816546689172837,0.6366244893791537,0.7893838862559241,0.6247561890472618,0.06568523116944543,0.4519685039370079,0.00013432073050985205
17,0.26044543600888626,0.11442462632325089,0.10403301491160033,0.18478109525416578,0.07272663524808683,3.7052262746916846,1.409985069937261,-0.4949066542681681,0.6232899000602021,0.7767441860465116,0.6264066016504126,0.0709471443774388,0.41338582677165353,0.00011881324637733612
18,0.2354419765451683,0.1024750853726054,0.09598468849072395,0.16329326419186785,0.06324514099744419,3.7732405377020903,1.4419771839890807,-0.49075248700701224,0.6124156078372838,0.7577076532462822,0.6268567141785446,0.07898782074021521,0.3952755905511811,0.00010364745084375793
19,0.21433920331392206,0.09212100249200858,0.09015268834527056,0.14086307874113146,0.05591797480629929,3.678856359785551,1.4165986494504021,-0.4514148270667386,0.627656748783309,0.754256233877902,0.6580645161290323,0.08448622442946671,0.41338582677165353,8.898950353863002e-05
20,0.19054949718193734,0.08028194505591535,0.08367645749519273,0.11668005016742114,0.0465723799678265,3.724759282943535,1.4292112395785375,-0.44446429224593015,0.6212307643551532,0.7579075425790754,0.6543135783945987,0.08235781009814355,0.4110236220472441,7.500000000000005e-05
21,0.1761750472541738,0.07285063822799231,0.07856446691487104,0.10836384882022727,0.043787071365323185,3.6854919127891534,1.4089634374648128,-0.55724118569153,0.6251082561801704,0.7530970406056435,0.6567141785446362,0.08484096015135391,0.3551181102362205,6.183221215612906e-05
22,0.1594601015531208,0.06504630131668133,0.0726212125805586,0.09618726941517476,0.03732398038122704,3.707985792243381,1.4145857338855152,-0.45727774901382434,0.6262918465002185,0.7542923820636773,0.6789197299324832,0.08714674234362067,0.4031496062992126,4.963040904617133e-05
23,0.14630805852573703,0.05837158523212935,0.06823868572456927,0.08688152150811662,0.03382594693445328,3.6738369967599587,1.4140891706673444,-0.4302844035453334,0.6318849897544822,0.7452384828259808,0.6868717179294823,0.09252690079224311,0.3984251968503937,3.852827617839091e-05
24,0.13693022590983367,0.05438573527804216,0.06429738328094962,0.08070759157094635,0.03099784763560221,3.6490479808336693,1.4069066014083853,-0.46964247191544106,0.6323227713286594,0.7411593734861941,0.6886721680420105,0.09477356036419535,0.378740157480315,2.8647450843757908e-05
