timestamp,speed_10m,direction_deg,speed_100m,shear,dir_sin,dir_cos,cluster_id
2017-05-01 00:00:00,1.3436791265622638,279.01744561792225,1.6013085830565688,0.07617946083361136,-0.9876406631023105,0.15673519256002627,58
2017-05-02 00:00:00,1.4000665647684167,329.122452070087,1.7596388124421227,0.09927484839870143,-0.5132049691386726,0.8582660774208509,95
2017-05-02 06:00:00,1.1139194752589245,11.869295882002803,1.5020414030853602,0.12982810694381175,0.2056797846363012,0.978619346933201,38
2017-05-03 00:00:00,1.6649507187314332,359.56048769777266,2.1448410480612616,0.10999372935314437,-0.007670861546606848,0.9999705785087544,21
2017-05-03 12:00:00,2.7806263525219714,112.27596795617194,2.6186549254978533,-0.026064361503897668,0.925368795438727,-0.37906805777891583,1
2017-05-03 18:00:00,2.1499797350963212,130.8829574733128,2.083205026243123,-0.01370235170645224,0.7560481872063677,-0.6545159574998651,83
2017-05-04 12:00:00,4.344920270035192,146.78987888053268,4.141173238717165,-0.02085841265618179,0.5477110267361078,-0.8366675750808552,76
2017-05-05 12:00:00,6.218162970475863,219.40340780793179,5.59346998543795,-0.04598078818671609,-0.6347764723164585,-0.7726958199663516,10
2017-05-05 18:00:00,5.442537130855153,258.7043384743084,4.7196617242379775,-0.06189052838522731,-0.9806294929069641,-0.19587189089052656,44
2017-05-06 00:00:00,2.2234752697749967,232.70159206880956,1.9663933038759,-0.05336191679577471,-0.7954903190521206,-0.6059662963353287,74
2017-05-06 06:00:00,1.6455826844888348,186.87262963271587,0.9862561107538806,-0.2223300018067881,-0.11966258195815287,-0.9928146183850781,42
2017-05-07 00:00:00,1.5229200457138983,30.172469744692023,1.9505742514476903,0.10748538382026551,0.502604610068928,0.864516400039618,70
2017-05-07 12:00:00,3.4545427155060167,86.77333854445578,3.1908146464249723,-0.03448899023994698,0.9984146806545307,0.05628610355595359,81
2017-05-07 18:00:00,2.0640106602193518,86.24103707584925,1.8691727791559658,-0.04306248825970023,0.9978486798518376,0.06555922603222923,78
2017-05-08 06:00:00,1.8150812548785804,39.56900007078286,2.089984244287747,0.06124694045671439,0.6370070096389271,0.7708580087609338,4
2017-05-08 12:00:00,1.4465649539344065,178.5566055783999,1.4332914956276717,-0.0040034151840071175,0.025189320522486514,-0.9996826987257584,55
2017-05-09 00:00:00,1.4595643313367148,356.910710709231,1.3684038596888273,-0.028008951108381527,-0.05389214845031822,0.9985467622176785,17
2017-05-09 18:00:00,6.091903667490034,238.21626044846045,5.28624945405638,-0.06160537382876918,-0.850042207951427,-0.5267145761235993,86
2017-05-10 00:00:00,3.2538176445571936,224.32380405230393,2.7388702574430956,-0.07482175003365954,-0.6987125661974773,-0.7154025089680185,28
2017-05-10 06:00:00,2.528312925334952,182.8470195211588,1.9595206797461426,-0.11068097373269041,-0.04966941897341997,-0.9987657126768233,61
2017-05-10 12:00:00,4.401918081493087,184.9180554182846,3.998010830799429,-0.04179798988161406,-0.08573089369390223,-0.996318329584699,20
