epoch,train_loss,train_occurrence_loss,train_amount_loss,train_dry_amount_loss,val_rmse,val_mae,val_bias,val_correlation,val_wet_precision,val_wet_recall,val_dry_false_alarm,val_heavy_recall,lr
1,0.762914093535952,0.43017309573777673,0.3045918215687526,0.5629834965458573,3.450391623642302,1.3973319789414225,-0.37069435841970677,0.6745954435354637,0.6495343712234307,0.9332992849846783,0.3575313655812604,0.30078740157480316,0.00029815325108927063
2,0.6628061010227458,0.37883727598954375,0.2614561216238563,0.45025411792370945,3.4168543932759854,1.379782055042089,-0.10402129397020171,0.6917104038214161,0.7140538786108407,0.898876404494382,0.255566030894191,0.4653543307086614,0.00029265847744427303
3,0.6306129341619097,0.36219311760033934,0.24722597499515542,0.4238768133610609,3.39781152866765,1.3266692223446472,-0.45910138956913676,0.6905510056229509,0.7125200642054574,0.9068437180796731,0.25977228225397053,0.30078740157480316,0.0002836509786282552
4,0.5990494177986507,0.34845194520938827,0.23117886511341637,0.3883721903155578,3.4138375108089063,1.3473474552746392,-0.3133686331217767,0.6812139280034325,0.7171856045289122,0.9058222676200204,0.25360794836463846,0.3905511811023622,0.0002713525491562421
5,0.5689606511719882,0.33520433808782796,0.21581785653632124,0.35876907567131666,3.5478098949034096,1.3862216016118818,-0.5444499872709901,0.6641416538867925,0.7100987575661039,0.9107252298263534,0.26397853361375007,0.2543307086614173,0.0002560660171779821
6,0.5381554709321922,0.32226312658648965,0.19921163797914787,0.3336140748819435,3.4830921854229384,1.3859644046518953,-0.1726223783446281,0.6709967500195891,0.7216368537123254,0.9024514811031665,0.24715352817463196,0.45511811023622045,0.000238167787843871
7,0.5003691537646856,0.3086144421007478,0.17634937749843463,0.3081067661510239,3.4761869900777356,1.3537528092372584,-0.3511038215368677,0.668131753287929,0.743091795705364,0.8872318692543412,0.21778229023134382,0.36929133858267715,0.00021809857496093204
8,0.46655205968745594,0.29444594956471176,0.15787035358576174,0.2847151224758948,3.545579914161389,1.3736286828668536,-0.4208500446180083,0.6540409467449143,0.7358748610992393,0.8793667007150153,0.22409166727101312,0.3480314960629921,0.00019635254915624216
9,0.43137434914844247,0.27942534684539666,0.13895523746556265,0.25987529732904885,3.5607309626086714,1.402646068972739,-0.14377126029201812,0.6527533400497326,0.7424060408443452,0.8837589376915219,0.21770976865617522,0.4346456692913386,0.00017346516975603468
10,0.38748657040792117,0.25408203435464455,0.12199185960590493,0.22825351465227947,3.560499535269227,1.3977740441318691,-0.18954708262530628,0.6576190814330901,0.7371973340082679,0.8925434116445352,0.22590470665022844,0.42440944881889764,0.00015000000000000001
11,0.34833328568887667,0.22896167803439857,0.1093980018276953,0.1994720991390683,3.572388816411109,1.4049533055181016,-0.2377009449622908,0.6474144837279849,0.764608751490689,0.8513789581205311,0.1860903618826601,0.3921259842519685,0.0001265348302439654
12,0.3054162861765151,0.19950991349286745,0.0972788576470992,0.17255032044783075,3.6546774714947934,1.4304524917274997,-0.1851083094400556,0.6397949208696102,0.7769201448446732,0.8327885597548519,0.16977300746972224,0.4149606299212598,0.0001036474508437579
13,0.26440758533032666,0.17017506393564688,0.08701830238767075,0.14428439102905488,3.6194219835612267,1.4270950519873025,-0.18053958218757418,0.6430109194784638,0.7690376569037657,0.8448416751787539,0.18014359271883384,0.4015748031496063,8.190142503906799e-05
14,0.23210938828785327,0.14599137600080972,0.07989726897450833,0.12441486244524347,3.6301330533455287,1.4064968606853658,-0.36320518117157613,0.6325654055082376,0.7770335857115124,0.8176710929519918,0.1665820581623033,0.34409448818897637,6.183221215612905e-05
15,0.2008549513216129,0.12375648874205893,0.0717917894462552,0.10613347140570294,3.6765325422368678,1.4317323684306784,-0.27311245878787677,0.628561618343585,0.7852268165395424,0.7991828396322779,0.1551961708608311,0.384251968503937,4.393398282201788e-05
16,0.1777246794766228,0.10741020575331073,0.06580116549340861,0.09026614790803407,3.6139440534083414,1.3976388928833021,-0.3185853734983123,0.6392679735655551,0.7951917224589166,0.8007150153217569,0.14642106026542898,0.38110236220472443,2.86474508437579e-05
17,0.1574548888729731,0.0923768156941417,0.06123280671896947,0.07690532432099265,3.6802748048255265,1.4297963429335971,-0.25801810668647074,0.6281534603938891,0.800164812525752,0.7934627170582227,0.14069185582710855,0.378740157480315,1.6349021371744834e-05
18,0.1442389969282356,0.0827379553283905,0.05803780385483451,0.06926477479509409,3.6716520674754696,1.4152088012566435,-0.322985487668871,0.6289811794441259,0.8020155364266218,0.780388151174668,0.13677569076800347,0.3732283464566929,7.341522555726972e-06
19,0.13647156933245091,0.0774977424977706,0.05569802745363068,0.06551597860024141,3.6683544444501957,1.4232031519007653,-0.30515265129308716,0.6281882842414663,0.8004166666666667,0.78488253319714,0.13895133802306187,0.3661417322834646,1.8467489107293517e-06
20,0.13394087450942374,0.07550503861862261,0.05524442750248677,0.06382818936465048,3.671849163820297,1.4207088053999792,-0.30906943836309403,0.6284205979135361,0.8004171011470281,0.7840653728294178,0.13880629487272464,0.3700787401574803,0.0
